id,shard,language,task,pass_1,pass_2,duration_seconds,prompt_tokens,completion_tokens,test_timeouts,error_outputs,malformed_responses,exhausted_context_windows,syntax_errors,indentation_errors,lazy_comments,model,edit_format,aider_commit,result_path
cpp/spiral-matrix,A,cpp,spiral-matrix,False,False,120.9606249332428,153042,3490,0,1,0,1,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/spiral-matrix/.aider.results.json
cpp/sublist,A,cpp,sublist,False,True,2463.1819140911102,67399,66552,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/sublist/.aider.results.json
cpp/yacht,A,cpp,yacht,False,True,532.9075040817261,8627,15573,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/yacht/.aider.results.json
cpp/zebra-puzzle,A,cpp,zebra-puzzle,True,True,2480.867562532425,14246,50679,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,cpp/exercises/practice/zebra-puzzle/.aider.results.json
go/alphametics,A,go,alphametics,True,True,1133.3491914272308,1145,15480,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/alphametics/.aider.results.json
go/beer-song,A,go,beer-song,False,True,340.86213850975037,9963,9567,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/beer-song/.aider.results.json
go/book-store,A,go,book-store,True,True,370.5533046722412,1372,10499,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/book-store/.aider.results.json
go/bottle-song,A,go,bottle-song,False,True,236.78617143630981,4843,6662,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/bottle-song/.aider.results.json
go/bowling,A,go,bowling,True,True,483.56970024108887,1305,14260,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/bowling/.aider.results.json
go/counter,A,go,counter,False,True,1553.21430850029,2732,9910,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/counter/.aider.results.json
go/crypto-square,A,go,crypto-square,True,True,956.0215470790863,1221,10573,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/crypto-square/.aider.results.json
go/dnd-character,A,go,dnd-character,True,True,86.57720255851746,1520,2511,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/dnd-character/.aider.results.json
go/dominoes,A,go,dominoes,True,True,1682.66477060318,1242,14510,0,1,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/dominoes/.aider.results.json
go/error-handling,A,go,error-handling,True,True,225.99258470535278,1281,6105,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/error-handling/.aider.results.json
go/food-chain,A,go,food-chain,True,True,219.40888905525208,1338,6829,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/food-chain/.aider.results.json
go/forth,A,go,forth,False,False,653.2004234790802,23921,19383,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/forth/.aider.results.json
go/hexadecimal,A,go,hexadecimal,False,False,318.188059091568,2336,8704,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/hexadecimal/.aider.results.json
go/kindergarten-garden,A,go,kindergarten-garden,True,True,243.1063528060913,1265,7245,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/kindergarten-garden/.aider.results.json
go/ledger,A,go,ledger,False,False,1666.0674238204956,7013,31768,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/ledger/.aider.results.json
go/markdown,A,go,markdown,False,True,1356.4582378864288,3990,22071,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/markdown/.aider.results.json
go/matrix,A,go,matrix,False,True,318.3125219345093,3158,9508,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/matrix/.aider.results.json
go/octal,A,go,octal,False,False,497.7648093700409,2677,13782,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/octal/.aider.results.json
go/paasio,A,go,paasio,False,True,251.77442264556885,2836,7284,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/paasio/.aider.results.json
go/palindrome-products,A,go,palindrome-products,False,True,497.15308141708374,3442,13659,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/palindrome-products/.aider.results.json
go/pig-latin,A,go,pig-latin,True,True,338.6274881362915,1333,10290,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/pig-latin/.aider.results.json
go/poker,A,go,poker,False,False,609.4548275470734,7775,18916,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/poker/.aider.results.json
go/pov,A,go,pov,True,True,405.55496072769165,1721,11593,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/pov/.aider.results.json
go/protein-translation,A,go,protein-translation,True,True,221.15412259101868,1201,6543,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/protein-translation/.aider.results.json
go/react,A,go,react,False,True,515.9046316146851,3925,14703,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/react/.aider.results.json
go/say,A,go,say,True,True,134.08064365386963,1049,4056,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/say/.aider.results.json
go/scale-generator,A,go,scale-generator,True,True,395.7666735649109,1602,11917,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/scale-generator/.aider.results.json
go/simple-linked-list,A,go,simple-linked-list,False,True,467.8324661254883,3201,13133,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/simple-linked-list/.aider.results.json
go/sublist,A,go,sublist,True,True,97.37546896934509,1307,2845,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/sublist/.aider.results.json
go/transpose,A,go,transpose,True,True,349.364093542099,922,9831,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/transpose/.aider.results.json
go/tree-building,A,go,tree-building,True,True,160.109069108963,1038,4698,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/tree-building/.aider.results.json
go/trinary,A,go,trinary,False,False,363.18625664711,2391,10040,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/trinary/.aider.results.json
go/two-bucket,A,go,two-bucket,True,True,2766.7057082653046,1624,10705,0,1,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/two-bucket/.aider.results.json
go/variable-length-quantity,A,go,variable-length-quantity,True,True,394.98897075653076,1110,11925,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/variable-length-quantity/.aider.results.json
go/word-search,A,go,word-search,False,True,314.74559140205383,5675,9180,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/word-search/.aider.results.json
go/wordy,A,go,wordy,True,True,253.29616022109985,987,7298,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/wordy/.aider.results.json
go/zebra-puzzle,A,go,zebra-puzzle,True,True,399.0407600402832,1330,12215,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,go/exercises/practice/zebra-puzzle/.aider.results.json
java/affine-cipher,A,java,affine-cipher,False,True,497.2560842037201,9112,14697,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/affine-cipher/.aider.results.json
java/all-your-base,A,java,all-your-base,False,True,186.88791370391846,7641,4887,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/all-your-base/.aider.results.json
java/alphametics,A,java,alphametics,False,True,1362.1855192184448,4609,22158,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/alphametics/.aider.results.json
java/bank-account,A,java,bank-account,False,True,269.2875802516937,20118,7043,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/bank-account/.aider.results.json
java/book-store,A,java,book-store,True,True,579.0039279460907,1294,17128,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/book-store/.aider.results.json
java/bottle-song,A,java,bottle-song,True,True,68.91042971611023,1115,2055,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/bottle-song/.aider.results.json
java/bowling,A,java,bowling,False,False,4274.359914064407,5204,20176,0,2,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/bowling/.aider.results.json
java/change,A,java,change,True,True,122.7496976852417,923,3222,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/change/.aider.results.json
java/circular-buffer,A,java,circular-buffer,False,True,382.34291100502014,13938,10982,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/circular-buffer/.aider.results.json
java/connect,A,java,connect,False,True,1589.6148674488068,3939,11453,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/connect/.aider.results.json
java/custom-set,A,java,custom-set,False,True,1910.6832406520844,4285,21007,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/custom-set/.aider.results.json
java/dominoes,A,java,dominoes,False,True,465.88603043556213,3638,13117,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/dominoes/.aider.results.json
java/food-chain,A,java,food-chain,True,True,147.17275857925415,1339,4598,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/food-chain/.aider.results.json
java/forth,A,java,forth,False,True,847.4066514968872,52751,23906,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/forth/.aider.results.json
java/go-counting,A,java,go-counting,False,True,7662.758236646652,5454,13484,0,3,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/go-counting/.aider.results.json
java/hangman,A,java,hangman,False,False,3952.4301676750183,4335,26160,0,1,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/hangman/.aider.results.json
java/house,A,java,house,False,True,297.9635980129242,8166,8901,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/house/.aider.results.json
java/kindergarten-garden,A,java,kindergarten-garden,True,True,168.86725974082947,1207,4990,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/kindergarten-garden/.aider.results.json
java/ledger,A,java,ledger,True,True,399.06802201271057,1989,11543,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/ledger/.aider.results.json
java/mazy-mice,A,java,mazy-mice,True,True,14416.300758123398,1518,17112,0,7,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/mazy-mice/.aider.results.json
java/ocr-numbers,A,java,ocr-numbers,True,True,514.476728439331,1126,15244,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/ocr-numbers/.aider.results.json
java/palindrome-products,A,java,palindrome-products,False,True,327.3926122188568,7362,9299,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/palindrome-products/.aider.results.json
java/phone-number,A,java,phone-number,False,False,1196.6849491596222,3493,17316,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/phone-number/.aider.results.json
java/pig-latin,A,java,pig-latin,False,True,865.0254509449005,4421,25457,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/pig-latin/.aider.results.json
java/poker,A,java,poker,False,True,665.7259607315063,3731,19816,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/poker/.aider.results.json
java/pov,A,java,pov,True,True,466.51463890075684,1915,13463,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/pov/.aider.results.json
java/protein-translation,A,java,protein-translation,False,True,199.96879172325134,8151,5740,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/protein-translation/.aider.results.json
java/pythagorean-triplet,A,java,pythagorean-triplet,True,True,230.04609489440918,1001,6973,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/pythagorean-triplet/.aider.results.json
java/queen-attack,A,java,queen-attack,True,True,104.09345936775208,1085,2995,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/queen-attack/.aider.results.json
java/react,A,java,react,True,True,571.5908017158508,1059,16677,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/react/.aider.results.json
java/resistor-color-trio,A,java,resistor-color-trio,True,True,284.13807106018066,1304,7919,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/resistor-color-trio/.aider.results.json
java/rest-api,A,java,rest-api,False,True,1000.5594816207886,7670,29545,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/rest-api/.aider.results.json
java/satellite,A,java,satellite,False,False,699.1627213954926,3617,20825,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/satellite/.aider.results.json
java/series,A,java,series,False,True,1199.5519409179688,10417,17915,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/series/.aider.results.json
java/sgf-parsing,A,java,sgf-parsing,False,False,1242.0881035327911,7021,19286,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/sgf-parsing/.aider.results.json
java/simple-linked-list,A,java,simple-linked-list,True,True,68.01638102531433,1074,1944,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/simple-linked-list/.aider.results.json
java/state-of-tic-tac-toe,A,java,state-of-tic-tac-toe,False,True,1457.6588032245636,12786,25367,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/state-of-tic-tac-toe/.aider.results.json
java/transpose,A,java,transpose,True,True,318.5658850669861,931,9254,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/transpose/.aider.results.json
java/tree-building,A,java,tree-building,True,True,356.75597405433655,1446,10337,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/tree-building/.aider.results.json
java/twelve-days,A,java,twelve-days,False,True,246.44327759742737,8723,6595,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/twelve-days/.aider.results.json
java/two-bucket,A,java,two-bucket,True,True,346.3002142906189,1351,10425,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/two-bucket/.aider.results.json
java/variable-length-quantity,A,java,variable-length-quantity,False,True,464.58377289772034,10360,13913,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/variable-length-quantity/.aider.results.json
java/word-search,A,java,word-search,False,False,433.0339775085449,3144,12333,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/word-search/.aider.results.json
java/wordy,A,java,wordy,False,True,385.7884337902069,19618,10552,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/wordy/.aider.results.json
java/zebra-puzzle,A,java,zebra-puzzle,True,True,280.69427585601807,1221,8810,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,java/exercises/practice/zebra-puzzle/.aider.results.json
javascript/affine-cipher,B,javascript,affine-cipher,False,False,1865.353104352951,4856,17951,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/affine-cipher/.aider.results.json
javascript/alphametics,B,javascript,alphametics,True,True,478.1935324668884,927,13034,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/alphametics/.aider.results.json
javascript/beer-song,B,javascript,beer-song,False,True,834.8292195796967,18700,6642,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/beer-song/.aider.results.json
javascript/binary,B,javascript,binary,False,True,86.4756212234497,2744,2336,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/binary/.aider.results.json
javascript/book-store,B,javascript,book-store,False,True,488.49774646759033,5100,14069,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/book-store/.aider.results.json
javascript/bottle-song,B,javascript,bottle-song,False,True,455.1422462463379,4910,12319,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/bottle-song/.aider.results.json
javascript/bowling,B,javascript,bowling,False,True,1213.7504806518555,8873,18740,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/bowling/.aider.results.json
javascript/complex-numbers,B,javascript,complex-numbers,False,True,197.52421116828918,4092,5571,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/complex-numbers/.aider.results.json
javascript/connect,B,javascript,connect,True,True,848.7193896770477,1046,7001,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/connect/.aider.results.json
javascript/food-chain,B,javascript,food-chain,False,True,410.10172629356384,5504,11720,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/food-chain/.aider.results.json
javascript/forth,B,javascript,forth,False,True,1249.9033071994781,10443,18009,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/forth/.aider.results.json
javascript/go-counting,B,javascript,go-counting,False,False,2097.2642562389374,5413,25798,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/go-counting/.aider.results.json
javascript/grade-school,B,javascript,grade-school,True,True,226.99501299858093,1054,6532,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/grade-school/.aider.results.json
javascript/grep,B,javascript,grep,True,True,529.3985974788666,1748,14683,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/grep/.aider.results.json
javascript/house,B,javascript,house,False,True,428.8451945781708,8004,12713,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/house/.aider.results.json
javascript/killer-sudoku-helper,B,javascript,killer-sudoku-helper,True,True,197.7633078098297,1993,5485,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/killer-sudoku-helper/.aider.results.json
javascript/ledger,B,javascript,ledger,True,True,486.2976264953613,1924,14442,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/ledger/.aider.results.json
javascript/list-ops,B,javascript,list-ops,True,True,476.76512479782104,1246,12774,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/list-ops/.aider.results.json
javascript/meetup,B,javascript,meetup,False,False,778.961633682251,16378,20803,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/meetup/.aider.results.json
javascript/ocr-numbers,B,javascript,ocr-numbers,False,True,1301.0421748161316,4872,20462,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/ocr-numbers/.aider.results.json
javascript/palindrome-products,B,javascript,palindrome-products,True,True,149.9939889907837,1158,4301,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/palindrome-products/.aider.results.json
javascript/parallel-letter-frequency,B,javascript,parallel-letter-frequency,False,True,191.053147315979,4544,4793,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/parallel-letter-frequency/.aider.results.json
javascript/phone-number,B,javascript,phone-number,False,True,321.6937777996063,6476,8966,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/phone-number/.aider.results.json
javascript/pig-latin,B,javascript,pig-latin,True,True,394.31951689720154,1373,11646,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/pig-latin/.aider.results.json
javascript/poker,B,javascript,poker,True,True,386.697744846344,797,11745,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/poker/.aider.results.json
javascript/promises,B,javascript,promises,False,True,461.69621562957764,6043,13440,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/promises/.aider.results.json
javascript/queen-attack,B,javascript,queen-attack,False,True,439.14631748199463,4166,12304,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/queen-attack/.aider.results.json
javascript/rational-numbers,B,javascript,rational-numbers,False,True,4911.345524787903,5098,20309,0,2,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/rational-numbers/.aider.results.json
javascript/react,B,javascript,react,False,False,744.2669429779053,4676,21506,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/react/.aider.results.json
javascript/rectangles,B,javascript,rectangles,True,True,479.98498010635376,916,13935,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/rectangles/.aider.results.json
javascript/resistor-color-trio,B,javascript,resistor-color-trio,False,False,462.22990679740906,4225,12309,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/resistor-color-trio/.aider.results.json
javascript/rest-api,B,javascript,rest-api,False,True,454.74844002723694,5337,11047,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/rest-api/.aider.results.json
javascript/robot-name,B,javascript,robot-name,False,True,1442.9745404720306,2845,6312,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/robot-name/.aider.results.json
javascript/say,B,javascript,say,False,True,193.54927372932434,4212,5005,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/say/.aider.results.json
javascript/scale-generator,B,javascript,scale-generator,True,True,465.6144917011261,1683,13657,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/scale-generator/.aider.results.json
javascript/simple-linked-list,B,javascript,simple-linked-list,False,True,1263.4458141326904,5565,19005,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/simple-linked-list/.aider.results.json
javascript/space-age,B,javascript,space-age,True,True,60.36613321304321,1348,1646,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/space-age/.aider.results.json
javascript/state-of-tic-tac-toe,B,javascript,state-of-tic-tac-toe,False,True,281.7898635864258,5924,7731,0,0,0,0,0,0,0,openai/GLM-5.2,whole,5dc9490,javascript/exercises/practice/state-of-tic-tac-toe/.aider.results.json
